Title,Artist,Year,Genre,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity,,,,
Wagon Wheels,Peter De Rose,Desconocido,jump,"Wikifonia/Peter De Rose, Billy Hill - Wagon Wheels.mxl",English,0.588888888888889,106,180,1.20547945205479,1.29893427454116,38.485260770975,2.41095890410959,50,0.471698113207547,,,,
There Is A Tavern In The Town,Traditional,1963,jazz,Wikifonia/Traditional - There Is A Tavern In The Town.mxl,English,1.50617283950617,122,81,0.583941605839416,0.398763339550772,22.7784336875246,1.75182481751825,39,0.319672131147541,,,,
KARNAVALSPOTPOURRI 124,Unknow,Desconocido,Desconocido,Wikifonia/Unknow - KARNAVALSPOTPOURRI 124.mxl,No Lyrics,1.11551155115512,338,303,0.7525,0.64347202736405,32.7963826480148,1.4925,101,0.298816568047337,,,,
Tout Va Bien,Cali,2003,Pop,Wikifonia/Cali - Tout Va Bien.mxl,French,1.08441558441558,167,154,0.691244239631336,1.21573787255132,26.5722119442885,0.873271889400922,58,0.347305389221557,,,,
FLIRT (Transcribed Blues Sax),Peter Drischel,1982,Desconocido,Wikifonia/Peter Drischel - FLIRT (Transcribed Blues Sax).mxl,No Lyrics,1.59313725490196,325,204,0.534666666666667,0.720083637117552,27.0146794220869,1.032,106,0.326153846153846,,,,
Early In The Morning,Mike Leander & Eddie Seago,2018,Desconocido,Wikifonia/Mike Leander & Eddie Seago - Early In The Morning.mxl,English,0.773809523809524,130,168,0.891304347826087,1.07168621440933,41.5774578565276,2.46195652173913,56,0.430769230769231,,,,
MORE THAN THIS,Bryan Ferry,1985,"pop rock, rock, pop, progressive rock, rock music, glam",Wikifonia/Bryan Ferry - MORE THAN THIS.mxl,English,1,148,148,0.808988764044944,0.902184047771589,32.9116235238684,3.77808988764045,62,0.418918918918919,,,,
Have You Heard,Frank Lavere,Desconocido,"contemporary classical, rock, blues rock, classical, abstract electronic, avant-garde, progressive rock, blues, electronic, musique concrète","Wikifonia/Frank Lavere, Roy Rodde, Lew Douglas - Have You Heard.mxl",English,0.666666666666667,200,300,1.05755395683453,1.1108994616954,33.1212840760579,1.94964028776978,78,0.39,,,,
Love's Last Word Is Spoken,Cesare Andrea Bixio,1975,Desconocido,"Wikifonia/Cesare Andrea Bixio, Bruce Sievier - Love's Last Word Is Spoken.mxl",English,0.770833333333333,74,96,0.93,0.943451111610983,43.1311154598826,1.86,39,0.527027027027027,,,,
The Riff Song,Sigmund Romberg,1953,Desconocido,"Wikifonia/Sigmund Romberg, Otto Harbach, Oscar Hammerstein II - The Riff Song.mxl",English,1.1875,76,64,0.55045871559633,0.792583032227221,36.4444444444444,1.63761467889908,25,0.328947368421053,,,,
Matchmaker,Jerry Bock,1967,Desconocido,"Wikifonia/Jerry Bock, Sheldon Harnick - Matchmaker.mxl",English,0.691919191919192,274,396,1.01550387596899,0.937183333935344,25.8119658119658,1.96382428940568,68,0.248175182481752,,,,
Georgy Girl,Tom Springfield,1980,"pop rock, rock, album rock, ambient, soundtrack, pop, aor, power pop, pop/rock, contemporary pop/rock, latin jazz, hard rock, amos lee, classic rock, new wave","Wikifonia/Tom Springfield, Jim Dale - Georgy Girl.mxl",English,0.944444444444444,136,144,0.74468085106383,0.828604357840278,41.1868625201958,2.07446808510638,61,0.448529411764706,,,,
Let There Be Love,Lionel Rand,2007,"jazz, easy listening, pop","Wikifonia/Lionel Rand, Ian Grant - Let There Be Love.mxl",English,0.717592592592593,155,216,1.01005025125628,1.27266039719441,40.5936920222634,2.60804020100503,65,0.419354838709677,,,,
A Smooth One,Benny Goodman,1982,swing,Wikifonia/Benny Goodman - A Smooth One.mxl,No Lyrics,1.21875,156,128,0.576744186046511,0.565755532148047,20.5814830330959,1.89767441860465,54,0.346153846153846,,,,
Aloha 'Oe,Queen Lili'uokalani,Desconocido,easy listening,Wikifonia/Queen Lili'uokalani - Aloha 'Oe.mxl,English,1.19178082191781,87,73,0.551136363636364,0.579591872769724,37.989529849995,2.17424242424242,44,0.505747126436782,,,,
Granada,Agustin Lara,2012,Desconocido,"Wikifonia/Agustin Lara, . - Granada.mxl",No Lyrics,0.387755102040816,133,343,0.924657534246575,0.994808095844314,36.5996965996966,1.79178082191781,62,0.466165413533835,,,,
Tune Up,Miles Davis,1954,"hard bop, bop, cool jazz, jazz, bebop, acid jazz, post-bop, jazz instrument, trumpet jazz, cool",Wikifonia/Miles Davis - Tune Up.mxl,No Lyrics,0.481481481481481,52,108,1.46478873239437,1.75492053441931,34.9726961491667,2.33802816901408,33,0.634615384615385,,,,
When lights are low,Benny Carter,1991,Desconocido,Wikifonia/Benny Carter - When lights are low.mxl,No Lyrics,1.02884615384615,107,104,0.671232876712329,0.558234222514581,24.3486073674753,1.00684931506849,40,0.373831775700935,,,,
All That Thrills My Soul Is Jesus,Thoro Harris,2008,"country folk, alternative country, pop, country, folk, americana",Wikifonia/Thoro Harris - All That Thrills My Soul Is Jesus.mxl,English,0.9375,60,64,0.689655172413793,0.806729523924901,30.4761904761905,1.31034482758621,25,0.416666666666667,,,,
Dream Dancing,Cole Porter,2018,"modernjazz, broadway, soundtrack, jazz, musical, piano jazz",Wikifonia/Cole Porter - Dream Dancing.mxl,English,0.604545454545455,133,220,1.13157894736842,1.25245833978225,36.5037824128733,2.22105263157895,62,0.466165413533835,,,,
Meditation,Jules Massenet,2021,"jazz, jazz rock, fusion",Wikifonia/Jules Massenet - Meditation.mxl,No Lyrics,1.29255319148936,243,188,0.638888888888889,0.651883252347655,32.8036563986977,1.27777777777778,103,0.423868312757202,,,,
Grandfather's Clock,Henry Clay Work,2002,oldies,Wikifonia/Henry Clay Work - Grandfather's Clock.mxl,English,1.15,115,100,0.615894039735099,0.619166931086982,22.046783625731,1.07284768211921,42,0.365217391304348,,,,
Best That You Can Do (Arthur's Theme),Burt Bacharach,1981,"soft rock, rock, jazz, brill building, pop, easy listening","Wikifonia/Burt Bacharach, Christopher Cross, Carol Bayer Sager, Peter Allen - Best That You Can Do (Arthur's Theme).mxl",English,0.954545454545455,126,132,0.794871794871795,0.878649522598996,24.8,1.0448717948718,37,0.293650793650794,,,,
I Bowed on my Knees and Cried Holy,Nettie Dudley Washington,1992,Desconocido,Wikifonia/Nettie Dudley Washington - I Bowed on my Knees and Cried Holy.mxl,English,0.714285714285714,315,441,1.07125307125307,0.877557562226708,33.651804670913,3.16953316953317,94,0.298412698412698,,,,
Dig,Miles Davis,1951,"hard bop, bop, cool jazz, jazz, bebop, jazz instrument, trumpet jazz, cool",Wikifonia/Miles Davis - Dig.mxl,No Lyrics,1.23529411764706,168,136,0.694736842105263,0.667062440232528,21.9961542117231,1.68947368421053,54,0.321428571428571,,,,
I Want To Be Wanted (Transcribed),Alberto Testa,1966,Desconocido,"Wikifonia/Alberto Testa, Kim Gannon and Pino Spotti - I Want To Be Wanted (Transcribed).mxl",English,1.26363636363636,278,220,0.558139534883721,0.645714409419317,32.7361126639106,1.01808785529716,94,0.338129496402878,,,,
Tenderly,Walter Grosse,Desconocido,"jazz, classic jazz, vocal jazz","Wikifonia/Walter Grosse, Jack Lawrence - Tenderly.mxl",English,0.707142857142857,99,140,0.866883116883117,1.07516565892449,19.8250728862974,1.62987012987013,45,0.454545454545455,,,,
For Sentimental Reasons,William Best,1961,"r&b, soul, jazz, pop, doo wop, doo-wop, contemporary jazz","Wikifonia/William Best, Deek Watson - For Sentimental Reasons.mxl",English,0.857142857142857,120,140,0.715053763440861,0.928147602496439,49.2618865728109,2.12903225806452,55,0.458333333333333,,,,
Streets Of London,Ralph McTell,1969,"country-pop, rock, folk rock, singer-songwriter, country, dance, folk, club, celtic",Wikifonia/Ralph McTell - Streets Of London.mxl,English,0.77027027027027,114,148,0.979591836734694,0.907035147374574,43.4190195252142,2.85714285714286,58,0.508771929824561,,,,
Be Like The Kettle And Sing,Tommie Connor,2000,podcast,"Wikifonia/Tommie Connor, Walter Ridley, Desmond O'Connor - Be Like The Kettle And Sing.mxl",English,0.643333333333333,193,300,1.1455938697318,1.06578166042669,39.0128968253968,2.25287356321839,65,0.336787564766839,,,,
Moonlight And Shadows,Frederick Hollander,2010,Desconocido,"Wikifonia/Frederick Hollander, Leo Robin - Moonlight And Shadows.mxl",English,0.772058823529412,105,136,0.899328859060403,0.857223287326552,33.6263736263736,2.69798657718121,46,0.438095238095238,,,,
Man Of La Mancha,Mitch Leigh,1990,"easy listening, film score, soundtrack","Wikifonia/Mitch Leigh, Joe Darion - Man Of La Mancha.mxl",English,1.04255319148936,147,141,0.704081632653061,0.684976294442629,31.402478799739,1.36734693877551,55,0.374149659863946,,,,
Funky Flying Pink Hippopatumus,Sean Barrett Jr,1991,"alternative rock, rock, grunge, indie rock, punk, experimental",Wikifonia/Sean Barrett Jr - Funky Flying Pink Hippopatumus.mxl,No Lyrics,1.3125,21,16,0.75,0.737394060187631,42,1.85,13,0.619047619047619,,,,
Allez viens,John Mamann,2015,Pop,Wikifonia/John Mamann - Allez viens.mxl,French,1.03571428571429,290,280,0.814705882352942,1.11473174991974,24.0499907627935,0.990196078431372,103,0.355172413793103,,,,
Beauty And The Beast,Alan Menken,2004,Desconocido,"Wikifonia/Alan Menken, Howard Ashman - Beauty And The Beast.mxl",English,0.833333333333333,140,168,0.839378238341969,0.997459792815181,3.5171862509992,1.2020725388601,37,0.264285714285714,,,,
Mennyb?l az angyal,Unknown,Desconocido,Desconocido,Wikifonia/Unknown - Mennyb?l az angyal.mxl,Hungarian,1,32,32,0.714285714285714,0.547101204432193,21.505376344086,2.14285714285714,17,0.53125,,,,
The Best Things In Life Are Free,B.G.De Sylva,1994,Desconocido,"Wikifonia/B.G.De Sylva, Lew Brown, Ray Henderson - The Best Things In Life Are Free.mxl",English,0.5,70,140,1.47058823529412,1.0242728875143,30.0345065562457,4.34117647058824,31,0.442857142857143,,,,
There's A Rainbow 'Round My Shoulder,Al Jolson,1948,Desconocido,"Wikifonia/Al Jolson, Billy Rose, Dave Dreyer - There's A Rainbow 'Round My Shoulder.mxl",English,0.928571428571429,130,140,0.767045454545455,0.686513191111611,44.9612403100775,2.28409090909091,54,0.415384615384615,,,,
Under The Double Eagle,Josef Franz Wagner,2008,Desconocido,Wikifonia/Josef Franz Wagner - Under The Double Eagle.mxl,No Lyrics,1.50595238095238,253,168,0.570446735395189,0.433647158068925,26.1463844797178,1.6159793814433,100,0.395256916996047,,,,
Day By Day,Axel Stordahl and Paul Weston,1997,"drum and bass, jazz, chillout, downtempo, house, trip hop, easy listening, vocal, dance, swing, electronic, big band","Wikifonia/Axel Stordahl and Paul Weston, Sammy Cahn - Day By Day.mxl",English,0.712121212121212,94,132,0.96969696969697,0.878526606928741,33.3333333333333,1.87878787878788,45,0.478723404255319,,,,
Je Veux,ZAZ,2010,Pop,"Wikifonia/ZAZ, Zaz (Isabelle Geffroy) - Je Veux.mxl",French,0.904166666666667,217,240,0.621052631578948,0.605381376708107,26.3348688348688,1.66578947368421,85,0.391705069124424,,,,
I CONFESS,Daniel Clarke,1997,"alternative rock, rock, ska revival, pop, reggae, power pop, ska, synth-pop, new wave","Wikifonia/Daniel Clarke , Joshua Grange, kd lang  - I CONFESS.mxl",English,0.798387096774194,99,124,0.975609756097561,1.19892170139825,38.2179538482059,2.10975609756098,44,0.444444444444444,,,,
Here There and Everywhere,Paul McCartney,1984,"pop rock, soft rock, album rock, rock, soundtrack, pop, pop/rock, contemporary pop/rock, adult contemporary, classic rock","Wikifonia/Paul McCartney, John Lennon - Here There and Everywhere.mxl",English,1.19166666666667,143,120,0.591836734693878,0.695179975138982,27.270288397049,1.09183673469388,48,0.335664335664336,,,,
Come Fly with Me,Jimmy Van Heusen,1966,Desconocido,"Wikifonia/Jimmy Van Heusen, Sammy Cahn - Come Fly with Me.mxl",English,0.936305732484076,147,157,0.75,0.760143820241262,26.2622309197652,1.43137254901961,61,0.414965986394558,,,,
Gyertyal?ng,Unknown,2004,Desconocido,Wikifonia/Unknown - Gyertyal?ng.mxl,Hungarian,1.35185185185185,146,108,0.597633136094675,0.728799179547494,26.1463900084589,2.0414201183432,60,0.410958904109589,,,,
Corner Pocket,Freddy Greene,2023,"jazz, sweet bands",Wikifonia/Freddy Greene - Corner Pocket.mxl,No Lyrics,1.40909090909091,186,132,0.527083333333333,0.476855840957784,11.2792792792793,1.375,37,0.198924731182796,,,,
Puppet On A String,Bill Martin,2014,Desconocido,"Wikifonia/Bill Martin, Phil Coulter - Puppet On A String.mxl",English,1.02542372881356,121,118,0.838235294117647,0.852941176470589,38.010582010582,1.43382352941176,45,0.371900826446281,,,,
We Just Couldn't Say Goodbye,Harry Woods,2012,"jazz rock, smooth jazz, vocal jazz, jazz, jazz vocals, swing, jazz: jazz vocals",Wikifonia/Harry Woods - We Just Couldn't Say Goodbye.mxl,English,1.26923076923077,132,104,0.643333333333333,0.57107111835762,34.1962363336409,2.56,62,0.46969696969697,,,,
Side by Side,Harry Woods,2019,"showtunes, musical, soundtrack",Wikifonia/Harry Woods - Side by Side.mxl,English,0.97029702970297,98,101,0.7578125,0.73416719134251,41.4602579551033,1.4921875,53,0.540816326530612,,,,
Les Feuilles Mortes,Joseph Kosma,2022,Desconocido,"Wikifonia/Joseph Kosma, Jacques Prevert - Les Feuilles Mortes.mxl",No Lyrics,0.595419847328244,78,131,1.1651376146789,1.26718471074818,40.0865800865801,2.27522935779817,31,0.397435897435897,,,,
Somewhere,Leonard Bernstein,1996,classical,"Wikifonia/Leonard Bernstein, Stephen Sondheim - Somewhere.mxl",English,0.769230769230769,120,156,0.830601092896175,0.836056644832495,28.6905997830368,1.60655737704918,54,0.45,,,,
Dance On,V.&E.Murtagh,2004,instrumental rock,"Wikifonia/V.&E.Murtagh, R.Adams, Marcel Stellman - Dance On.mxl",English,0.732558139534884,126,172,1.06329113924051,1.08412136138368,29.4704761904762,2.08860759493671,52,0.412698412698413,,,,
Always in my Heart,Ernesto Lecuona,Desconocido,Desconocido,"Wikifonia/Ernesto Lecuona, Kim Gannon - Always in my Heart.mxl",English,0.939393939393939,124,132,0.86986301369863,1.17487217975787,25.9036356597332,2.41438356164384,45,0.362903225806452,,,,
